ANIO;MES;AREA;ESTRATO;LLAVE_PANEL;CONGLOMERADO;MUESTRA;SELVIV;HOGAR;C201;C203;C204;C205;C206;C207;C208;C300n;NROINF;C301_DIA;C301_MES;C301_ANIO;C303;C304;C305;C306_1;C306_2;C306_3;C306_4;C306_5;C306_6;C306_7;C306_8;C306_9;C306_10;C306_10A;C306_11;C306A;C308_COD;C309_COD;C310;C311;C312;C313;C317;C317A;C318_1;C318_2;C318_3;C318_4;C318_5;C318_6;C318_7;C318_T;C328_T;whoraT;C330;C331;C333;C334;P209H;C335;C338;C339_1;C341_T;C342;C344;C345_1;C347_T;C348;C350;C352;C353;C354;C355;C356;C357_I;C358;C359;C361_1;C362_1;C361_2;C362_2;C361_3;C362_3;C361_4;C362_4;C361_5;C362_5;C361_6;C362_6;C361_7;C362_7;C361_8;C362_8;C364_1;C365_1;C364_2;C365_2;C364_3;C365_3;C364_4;C365_4;C366;C366_1;C366_2;C375_1;C375_2;C375_3;C375_4;C375_5;C375_6;C376;C377;OCUP300;D341_T;D344;D347_T;D350;D351_T;I339_1;I342;I345_1;I348;INGTOT;INGTOTP;ingtrabw;RESIDENT;FAC_T300
2023;4;1;1;2.02E+22;17871;1;86;1;2;3;1;2; ;1;43;2;2;21;4;1979;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7212;3315;2; ;2;2;1;1;0;8;8;5;5;8;0;34; ;34;1; ;1;1;1;2; ; ; ;1200; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;9;3; ;2;2;2;2;2;2;10;7;1; ; ; ; ; ; ;1200; ; ;1200;1200;1200;1;276.958.521.381.974
2023;4;1;1;2.02E+22;24715;1;33;1;1;1;1;2; ;1;52;1;2;27;3;1971;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5;1;1;7; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;3; ; ; ; ; ; ; ; ; ; ; ; ;1;124.171.261.410.855
2023;4;1;1;2.02E+22;24715;1;33;1;2;6;1;2; ;2;82;2;2;8;2;1941;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5;2; ; ; ; ;1;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1; ; ;2;2;2;2;2;2;1;7;4; ; ; ; ; ; ; ; ; ; ; ; ;1;108.501.659.032.575
2023;4;1;1;2.02E+22;47147;1;6;1;1;1;1;2; ;2;82;1;1;23;12;1940;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5;2; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;3;4; ;2;2;2;1;2;2;10;7;4; ; ; ; ; ; ; ; ; ; ; ; ;1;65.086.019.327.224
2023;4;1;1;2.02E+22;47147;1;6;1;2;3;1;2; ;1;60;2;2;27;8;1962;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;7;2; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;3;4; ;2;1;2;2;2;2;10;7;4; ; ; ; ; ; ; ; ; ; ; ; ;1;744.856.179.355.404
2023;4;1;1;2.02E+22;47147;1;6;1;3;3;1;2; ;2;55;3;3;26;9;1967;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9321;1071;3;5;1; ;3;100;0;8;8;8;8;8;0;40; ;48;2;48;2; ;2;2;4;1025;7; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;1;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;1;210; ; ; ;340;1025; ; ; ;1235;1235;1575;1;65.086.019.327.224
2023;4;1;1;2.02E+22;47147;1;6;1;4;5;1;2; ;2;24;4;4;8;5;1998;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5;1;1;6; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;9;3; ;2;2;2;2;2;2;10;7;4; ; ; ; ; ; ; ; ; ; ; ; ;1;905.984.493.158.185
2023;4;1;1;2.02E+22;47147;1;6;1;5;11;1;2; ;1;26;5;5;24;9;1996;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8321;4922;2; ;3;2;1;1;5;8;8;8;8;8;8;53; ;53;1; ;2; ;2;2; ; ; ;1200; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;5;3; ;2;2;2;2;2;2;10;7;1; ; ; ; ; ; ;1123; ; ;1123;1123;1123;1;872.034.833.800.963
2023;4;1;1;2.02E+22;47147;1;6;1;6;8;1;2; ;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
2023;4;1;1;2.02E+22;47147;1;6;1;7;8;1;2; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
